part,operator,diameter_mm,temperature_c
1,A,9.9320,21.60
2,B,10.0447,21.49
3,C,10.0175,21.81
4,C,10.0609,21.40
5,A,10.0687,21.22
6,A,9.9430,21.72
7,B,9.9958,21.45
8,B,10.0528,21.09
9,B,10.0005,21.53
10,A,10.0141,22.65
11,B,9.9075,20.82
12,C,9.9598,21.10
13,A,10.0013,
14,B,10.0390,21.66
15,C,9.9840,21.17
16,B,9.9947,21.24
17,B,9.9909,22.03
18,C,9.9589,21.29
19,A,10.0271,21.38
20,C,9.9347,21.22
21,B,9.9359,21.72
22,B,10.0170,21.40
23,B,9.9357,22.26
24,B,10.0554,21.60
25,C,10.0132,22.03
26,B,10.0667,21.85
27,C,10.0682,21.54
28,C,10.0026,21.47
29,C,9.9794,21.53
30,A,10.0593,21.89
31,B,10.2900,21.80
32,B,10.0433,21.57
33,B,10.0131,21.86
34,A,10.0075,21.23
35,C,9.9679,21.78
36,A,9.9863,21.78
37,A,10.0474,21.44
38,A,9.9557,
39,C,9.9294,21.90
40,A,10.1167,21.48
41,C,9.9738,21.77
42,B,9.9851,21.42
43,B,10.0988,21.06
44,C,9.9313,21.43
45,A,9.9819,21.87
46,C,9.9698,21.82
47,B,9.9559,21.39
48,B,9.9509,21.23
49,B,10.0165,21.37
50,C,9.8956,21.37
51,B,9.9859,21.85
52,C,10.0096,21.13
53,A,9.9743,21.15
54,A,10.0607,21.54
55,A,10.0711,20.97
56,B,10.0674,20.87
57,C,10.1613,21.00
58,A,10.1459,21.64
59,B,10.1036,21.64
60,C,10.1101,21.94
